post_id,post_reactions,num_of_comments
5557815844320096,14,2
5559985614103119,409,13
5559116947523319,31,40
5560378837397130,3,4
5556323501135997,45,33
913133025455091,299,134
5560241124077568,36,1
5554313148003699,158,7
5556617347773279,133,101
5556553524446328,45,18
5559236484178032,28,19
5551812894920391,178,78
5559002884201392,95,24
5557378584363822,229,58
5560175284084152,2,0
5560150894086591,2,0
5554424154659265,105,7
5559605964141084,105,32
5557469217688092,341,20
5559413177493696,70,11
5559879047447109,0,1
5557815844320096,14,2
5555489547886059,8,4
5559830364118644,17,0
5548628421905505,114,37
5543920769042937,51,24
5559721367462877,4,0
5559715264130154,24,0
5557815844320096,14,2
5556901084411572,446,85
5556089177826096,24,2
5554638077971206,348,53
5559569744144706,0,0
5558513704250310,85,4
5559401970828150,3,0
5556886637746350,2,1
5558479147587099,96,1
5551933284908352,87,10
5556821804419500,69,32
5557668781001469,6,1
5556426211125726,310,2
5559174667517547,0,0
5557815844320096,14,2
5559161410852206,1,0
5556664454435235,49,1
5548857651882582,122,97
5557428164358864,100,5
5558921704209510,1,0
5558042080964139,85,2
5557985924303088,19,2
5558864930881854,1,0
5558850767549937,1,0
5549504128484601,161,13
5540942632674084,166,35
5556366844464996,9,4
5556543114447369,13,2
5558162377618776,20,4
5556839041084443,83,8
5554976171270730,86,37
5558356000932747,8,0
5556746331093714,61,23
5558013197633694,0,1
5557976220970725,2,0
5557815844320096,14,2
5557884704313210,3,0
5556318581136489,65,1
5557873494314331,0,0
5556999881068359,3,4
5557673424334338,2,1
5552080668226947,112,47
5548099641958383,65,20
5554142214687459,4,5
5554742511294096,40,20
5550302348404779,73,32
5556284221139925,33,1
5557432294358451,88,0
5557317424369938,5,0
5557312261037121,5,0
5547156498719364,95,12
5557292387705775,2,0
5039862606115425,197,18
5557237394377941,2,0
5557210867713927,3,0
5555488961219451,59,4
5557815844320096,14,2
5557136211054726,22,0
5547035325398148,1,2
5556046307830383,14,3
5555340551234292,39,5
5556964844405196,42,0
5556847921083555,14,0
5554885364613144,20,8
5553435151424832,58,13
5548904708544543,508,109
5554943461274001,14,2
5555427537892260,3,1
5554319294669751,166,75
5554658961302451,20,1
5553264478108566,122,2
5555068597928154,77,4
5556636424438038,2,0
5545780295523651,242,10
5548846208550393,97,37
5550989608336053,46,16
5554415104660170,217,3
5557815844320096,14,2
5556318587803155,4,2
5545945142173833,193,55
5556260151142332,1,0
5554214538013560,44,21
4543010839133940,68,6
5556169671151380,5,0
5549142608520753,227,13
5556139334487747,7,0
5554435347991479,5,1
5556022874499393,1,0
5555489887886025,28,6
5555895831178764,0,0
5554071064694574,34,1
5550863741681973,361,40
5545405485561132,367,158
5553358264765854,44,14
5553558461412501,59,5
5553102764791404,46,4
5553691634732517,50,4
5554921064609574,14,2
5557815844320096,14,2
5546084712159876,62,31
5554729374628743,22,4
5540681289366885,156,69
5552638474837833,77,19
5554534537981560,8,0
5546932162075131,39,104
5553793104722370,23,1
5554453601322987,2,0
5553628514738829,13,2
5554195301348817,104,2
5553904151377932,25,4
5551055471662800,73,33
5543746905726990,64,31
5551622518272762,63,6
5551104391657908,70,8
5554193224682358,12,0
5551359264965754,113,29
4463165563785135,55,27
5553525358082478,98,8
5551839438251070,126,42
5557815844320096,14,2
5553822214719459,2,0
5553814981386849,2,0
5551830651585282,33,11
5544685322299815,150,50
5553429024758778,29,1
5553616601406687,15,0
5552121754889505,26,7
5553368184764862,2,0
5513840785384269,905,81
5553304424771238,7,0
5553250888109925,7,0
5553192078115806,3,0
5553114568123557,15,0
5553097234791957,2,0
5553070988127915,0,0
5552780501490297,1,0
5548977035203977,51,17
5549293818505632,186,13
5551573154944365,91,18
5552277494873931,2,0
5557815844320096,14,2
5551690408265973,6,2
5521897484578599,66,33
5551036168331397,590,10
5551894638245550,22,1
5551874681580879,0,1
5536511403117207,41,35
5551215834980097,149,11
5551794968255517,1,0
5551653234936357,3,0
5545551815546499,278,16
5551562501612097,2,0
5551334614968219,11,0
5551323934969287,28,0
5551190998315914,0,0
5551162811652066,4,0
5551088551659492,0,0
5547920515309629,4,5
5549220828512931,104,12
5550966338338380,2,0
5550927355008945,6,1
5557815844320096,14,2
5550753635026317,9,0
5548942348540779,86,27
5547264672041880,19,23
5550697321698615,1,0
5535099876591693,21,9
5547478515353829,133,14
5545179245583756,3,3
5549128718522142,23,7
5550419045059776,9,0
5547864931981854,6,9
5547589142009433,44,3
5549745145127166,41,1
5542255822542765,486,39
5548510168583997,15,2
5545899152178432,22,6
5545712395530441,88,27
5548713708563643,26,2
5547927945308886,31,1
5547247668710247,99,78
5545949465506734,50,4
