,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Bidhan Chowdhury,"গরীব-দু:খীকে শাড়ী, লুংগি, রিক্সা, ভ্যান, গরু, ছাগল, দোকানপাট হ্যান্ডওভার করে স্বাবলম্বী করার চেষ্টা যাকাত প্রদানের সহী তরিকা কি?

বিশুদ্ধ কট্টর মত বোধহয় যাকাতের টাকা নগদ প্রদান করতে হয় গ্রহীতাকে, গ্রহীতা এবার সে টাকা দিয়ে ছাগল কিনবে না কাঁঠালগাছ লাগাবে সেটা তার ব্যাপার। গ্রহীতাকে যাকাতের অর্থ দিয়ে কোন কিছু করতে বাধ্য করা যাবে না।

যাকাতদানকারীর মত যাকাতগ্রহীতার ও স্বাধীনতা দেখতে চাই :)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Raihan Alam,এত কম জেনে একটা বিষয়ে কি মতামত দিতেই হবে?,Bidhan Chowdhury,"Raihan Alam বুঝলাম কম জানি, ভুল জানি কি? ভুল জানলে শুদ্ধটা কি?",Ashfakul Islam,Raihan Alam বিধান দা হয়তো কম জানেন কিন্তু ভুল বলেন নাই। যাকাতের টাকায় কোন শর্ত টাকা যাবে না। গ্রাহকের সম্পূর্ন স্বাধীনতা থাকতে হবে। আমার তো আপনি একটু কম জেনে মন্তব্য করছেন।,,,,,,,,,,,,,,,,,,,,,,
2,Amin Siddiqui,"আস সুন্নাহ ফাউন্ডেশন শুনলাম এবছর ত্রিশ হাজার রিক্সা দান করছে যাকাতের ফান্ড থেকে। তবে আপনার লেখায় একটা শ্লেষ ভাব লক্ষ্য করলাম, যেটা দুঃখজনক।",Bidhan Chowdhury,"Amin Siddiqui দুঃখ দেয়ার জন্যি দুঃখিত, কোন ফাউন্ডেশন আসারও সুযোগ দেখি না, ফাউন্ডেশন আসলে নিয়ম শৃংখলায় পরে যায়, দাতা-গ্রহীতার স্বাধীনতা আর কই থাকে?",Amin Siddiqui,"Bidhan Chowdhury বুঝলাম, কিন্তু এর মধ্যেই আপনার প্রশ্নের জবাব ছিল। একটা ফাউন্ডেশন যেটা আলেমদের তত্বাবধানে চলে তারা যদি রিক্সা কিনে দিতে পারেন তাহলে আপনি কেন পারবেন না !",,,,,,,,,,,,,,,,,,,,,,
3,Asif Muhammad Juberi,"যাকাতের উদ্দেশ্যে সাবলম্বী করা, দাতা-গ্রহীতার স্বাধীনতা না। কোন কিছু নিয়ে কম জানলে তা নিয়ে মন্তব্য না করাই শ্রেয়।",Bidhan Chowdhury,"Asif Muhammad Juberi কম জানা সমস্যা কি? ভুল জানি কিনা সেইটা বলেন, তাইলে শুদ্ধটা কি?",Ashfakul Islam,Asif Muhammad Juberi বিধান দা ঠিকই বলেছেন। যাকাতের টাকায় কোন শর্ত থাকা যাবে না। পরিপূর্ন স্বাধীনতা থাকতে হবে। আপনি বরং একটু ঠিকঠাক জেনে মন্তব্য করবেন।,Asif Muhammad Juberi,"Ashfakul Islam শর্ত দেয়া যাবে না সেটা ঠিক আছে। কেউ যদি সাবলম্বী করার জন্যে কিছু কিনে দেয় সেটাই প্রিফারেবল, নেক্সট টাইম যেন তাকে আর যাকাত নিতে না হয়। আমার যাকাতের টাকা দিয়ে কেউ জুয়া খেললে নিশ্চয় আমি তাকে নেক্সট টাইম যাকাত দিব না।
আমার মনে হয় আপনার আরো পড়াশুনা জরূরি।",Ashfakul Islam,"Asif Muhammad Juberi আরেকটু পড়াশুনা করে আসলাম আর বুঝলাম, আপনি এখনও যাকাত এর বেসিকটা ধরতে পারেন নাই।

যাকাত আপনি কাকে দিবেন সেটা আংশিক আপনার স্বাধীনতা (যাকাত নিতে পারবে এমন যে কাউকে আপনি দিতে পারেন)।

আপনি যখন যাকাত দিয়ে দিলেন তখন থেকে সেটা তার , সেই জিনিস দিয়ে সে ডুগডুগি খেলুক, আর বেচে মটকা (আপনার ভাষায় জুয়া খেলুক) খাক সেটা তার ব্যাপার, আপনি এটা নিয়ে তাকে কোন প্রশ্ন করার অধিকার রাখেন না।

যাকাত হিসাবে টাকা সবসময় প্রেফারেবল। এতে গ্রহীতার সম্পূর্ণ স্বাধীনতা থাকে।

কাউকে স্বাবলম্বী করার নিয়তে আপনি তাকে হেল্প করার জন্য ওই জিনিসটা কিনে দিতে পারেন যদি গ্রহীতা সেটাতে রাজি থাকে। আপনার নিয়ত যদি থাকে ফলো আপ করে মাতব্বরি ফলানো, তাহলে তাকে যাকাত না দেওয়ায় ভালো।

আশা করি এইবার আপনার কনসেপ্ট ক্লিয়ার হয়েছে।",,,,,,,,,,,,,,,,,,
4,Habibullah Billal,"Keu to kaoke force kore kono kisu chapaye decche na...grohita jodi kono kisu chay...like dokan/riksha/
goru...tahole somossa kothay.....oikk
omot hole to kono problem nai.....karo darkar ekta goru....take jodi ami riksha dei tahole to problem....",Bidhan Chowdhury,"Habibullah Billal ঐক্যমত থাকলে তো স্বাধীনতা থাকলোই, সমস্যা দেখি না। প্রচলিত কাজকারবারে তো তা দেখছি না। শাড়ী, লুংগি কিনে ট্রাকবোঝাই করে নিয়ে গিয়ে গ্রামে বিলি করা, বা ফাউন্ডেশনের মাধ্যমে শত শত রিক্সা কিনে বিলি করা এসবে তো গ্রহীতার স্বাধীনতা দেখি না।",Habibullah Billal,"Bidhan Chowdhury protisthan chalayte gale drisshoman kaz korte hoy...otherwise
donate jara kore tara astha harate pare...vabte pare tader taka kheye feltese....tai kisu drisshoman kaz kora hoy....kintu sob fund atatei lagano hoy mone kori na.",Bidhan Chowdhury,Habibullah Billal দাতার সন্তুষ্টি নিয়ে প্রতিষ্টান মাথা ঘামালে গ্রহীতার আর কোন স্বাধীনতাই থাকে না।,Habibullah Billal,"Bidhan Chowdhury ami sheta mone kori na.....say as sunnah 30 ta riksha debe....grohita
r jodi proyojon na thake....tahole
nebe na....amon to na je ekmatro as sunnah chara ar keu jakat decche na.....onno jaygay jabe.",Bidhan Chowdhury,Habibullah Billal গরীবের চয়েস থাকে না,Md. Daiyan Nafis Prodhan,"Habibullah Billal ভাইয়া, আমার এটায় আপত্তি আছে। দৃশ্যমান কাজ করা লাগবে, অন্যকিছু করুক। যাকাতের টাকা দিয়ে করা উচিৎ না। অবশ্য আমাদের সবই শো অফ করা লাগে 🙂",Md. Daiyan Nafis Prodhan,"Bidhan Chowdhury আপনার প্রাথমিক জানাতেও ভুল থাকতে পারে। কেউ রিকশা না চাইলে তাকে ওই ৩০টা রিকশা দেওয়ার তালিকায় ঢুকানোরই কথা না। তাই আপনি যদি নিশ্চিত এমন কাউকে চিনেন যিনি অন্য কিছু চেয়ে রিকশা পেয়েছেন, তাহলে প্রশ্ন তুলতে পারেন",,,,,,,,,,,,
5,Ho Rokon,"আপনার যাকাত কত এসেছে এবার? আমার দু এক জন পরিচিত এর লাগবে, কিছু দিতে পারবেন?",Bidhan Chowdhury,Ho Rokon যাকাতের হিসাব তো আমার নাই। তারপর,Ho Rokon,Bidhan Chowdhury হায় হায় কি বলেন!!!,,,,,,,,,,,,,,,,,,,,,,
6,Zahidul Siddique,"https://
islamqa.info/
amp/en/answers/
79337",Bidhan Chowdhury,Zahidul Siddique আপনি কি এটা পড়েছেন মনযোগ দিয়ে?,Zahidul Siddique,Bidhan Chowdhury yes I did. Did you read the other one I posted?,,,,,,,,,,,,,,,,,,,,,,
7,Zahidul Siddique,"https://
nzf.org.uk/
knowledge/
paying-zakat-in-
forms-other-tha
n-cash/",Zahidul Siddique,"Since majority of Bangladeshis are of Hanafi majhab, according to the article above, it is permissible to give Zakat in other forms.",,,,,,,,,,,,,,,,,,,,,,,,
8,Md Raisul Hoque Rifat,অল্পবিদ্যা ভয়ংকরী!,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jakaria Jalal,"যাকাত কত দিছেন গত বছর বা এইবার, জানাইয়েন, অনেকে চাইতেছে। ধন্যবাদ।",Habibullah Billal,Jakaria Jalal vai jakat koto dise janle to ekjon manusher total sompod easily calculate kore felte parbe...ai group e NBR er lok o ase.....dhore felbe....tai amar dharona keu jakat er ammount bolbe na,Jakaria Jalal,Habibullah Billal you are absolutely correct ✅,Bidhan Chowdhury,Jakaria Jalal ক্রিকেটার না হইলে ক্রিকেট নিয়া কথা বলা যাবে না এইরকম হইলো,Jakaria Jalal,Bidhan Chowdhury There is a fine line between understanding and intelligence. Hope you get it. Thanks,Bidhan Chowdhury,"Jakaria Jalal আপাতত ধন্যবাদটা নিলাম, থ্যাংকস",Bidhan Chowdhury,Jakaria Jalal এখানে ইন্টেলিজেন্সটা কই দেখাবে?,Zahidul Siddique,Bidhan Chowdhury Bidhan Chowdhury This is BS. You gave the screenshot of the portion that suits your agenda. Also add the portion that says it is permissible.,Romans Roman,Jakaria Jalal Rocket# 017124733378 bKash# 01715024653... যাকাত গ্রহীতার লিস্টে আমার এই নাম্বার রাইখেন,Badsha Mondol,Jakaria Jalal উনি যাকাত কত দিছেন তা আপ্নাকে জানাইতে হইবে?,,,,,,,,
