,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Hasib Uz Zaman,"শাফি, রাফি আর নাফি তিন বন্ধু। তারা মতিঝিল আইডিয়াল স্কুলে পড়াশুনা করেছে ক্লাস সিক্স থেকে। তারপর নটরডেম কলেজ থেকে পাশ করে বুয়েট কম্পিউটার ইঞ্জিনিয়ারিং এ চান্স পায়। পাশ করার পর কয়েক কোম্পানি ঘুরেফিরে তিনজনেই এখন একই অফিসে কামলা দেয়। আর কোনো আর্থিক সোর্স তাদের নাই এবং বাৎসরিক ইনকাম এদিক সেদিক করে কাকতালীয় ভাবে প্রায় সমান।

শাফির বাবা সরকারী চাকরিজীবি ছিলেন। রিটায়ারমেন্টের পরে পেনশনের টাকা দিয়ে বনশ্রীতে ফ্লাট কিনেছেন। শাফি বিয়ের পরে মালিবাগে বাসা ভাড়া নিয়ে বউ বাচ্চা নিয়ে থাকে। তার স্ত্রী ব্যাংকে জব করে। তাদের একমাত্র মেয়ে ভিকারুন্নিসায় পড়ে। বাবার থেকে পাওয়া অভ্যাসে শাফি খুব হিসাব করে চলে, নিজের জমানো টাকা আর স্ত্রীর জমানো টাকা দিয়ে আর ব্যাঙ্কের লোন নিয়ে গত বছর উত্তরায় এক কোটি বিশ লাখ টাকার ফ্লাট বুকিং দিয়েছে, প্রতি মাসে মোটা অংকের লোন পরিশোধ করতে হয়। হিসেব করে শাফির এই বছরে যাকাত আসে শূণ্য টাকা।

রাফি বনেদী পরিবারের সন্তান। ধানমন্ডিতে বাবার বাড়ি আছে, সেটার একটা ফ্লাটে স্ত্রী সন্তান সহ থাকে। পারিবারিক সূত্রে তাদের দুইটা গাড়ি আছে, সুযোগ সুবিধা মত ব্যবহার করে। তার স্ত্রীও পারিবারিক ভাবে সম্ভ্রান্তশালী। তাদের দুই ছেলে মেয়ে স্কলাস্টিকা আর সানিডেলে পড়ে। বছরে তারা নিয়ম মাফিক দুইটা ট্যুর দেয় – একটা দেশের মধ্যে, আরেকটা দেশের বাইরে। একাধিকবার ওমরাহ করেছে। বাসার কাজের লোকদের খরচ, ড্রাইভারের খরচ, সাংসারিক খরচ, স্ট্যাটাস মেইন্টেনের খরচ শেষে তাদের সেইভিং তেমন কিছু থাকে না। তা নিয়ে কোনো মাথাব্যথা ও কাজ করে না। হিসেব করে রাফির যাকাত আসে কিছু অলংকার বাবদ দশ হাজার টাকা। সেটা সে সুন্দর মত আদায় করে।

নাফির বাবা ছোটখাট ব্যবসায়ী ছিলেন। দুনিয়ার যত ব্যবসাই সে করেছেন ধরা খেয়েছেন দুঃখজনকভাবে এবং কোন সঞ্চয় করতে পারেন নাই। নাফি বাবা-মা এবং স্ত্রী কে নিয়ে বাসাবো তে পঁচিশ হাজার টাকার ভাড়া বাসায় থাকে। বাসে করে অফিসে যায়, তার স্ত্রী বাসে-ট্রেনে করে উত্তরাতে অফিস করে। দুইজনে মিলে পাঁচবছর ধরে টাকা জমাচ্ছে একটা ফ্লাট কেনার জন্য। পূর্বাচলের দিকে কেনার ইচ্ছা আছে, এখনো ডাউন পেমেন্ট জমে নাই, ব্যাংকের লোন নেয়ার ব্যাপারে তাদের আগ্রহ বা সাহস কোনোটা নাই। এই বছর নাফির যাকাত হিসেবে আসে এক লক্ষ টাকা। প্রতিদিন যুদ্ধ করে টিকে থেকে ঢাকা শহরে একটা নিজের বাড়ির স্বপ্নে সে এতগুলো টাকা যাকাত দেয়ার কথা ভাবতে পারে না এবং রোজার মাস আসলেই তার মন খারাপ হয়ে যায়।

#যাকাত",,,,,,,,,,,,,,
1,Jakaria Jalal,"যাকাত দিতে এত কষ্ট লাগলে দিয়েন না, এত নাটিকা বানানোর কি দরকার, আজাইরা আলোচনা আর তেনা প্যাচানোর গালগল্পের সমারোহ।",Hasib Uz Zaman,Jakaria Jalal gopler characters khub unrealistic mone holo bhai?,,,,,,,,,,,,
2,Samee Azad,"এক লাখ টাকা যার যাকাত আসে, তার গত এক বছর ধরে চল্লিশ লাখ টাকা এমনিই পড়ে ছিল। যাকাত বাদে অবশিষ্ট থাকে উনচল্লিশ লাখ টাকা। ম্যালা টাকা। অতো কান্নাকাটির কিছু নাই। তারপরও গাঁইগুঁই করলে সেটার জন্য খলিফা আবু বকরের বাতলে দেয়া ওষুধ আছে!",Hasib Uz Zaman,Samee Azad very interesting.. nobody noticed that the two other person are living better life without any kind of expectation to them!,Anwarul Maruf,"Hasib Uz Zaman the other two r not hoarding money, which is bad for economy. Btw one who is involved in taking loan from bank is violating another fundamental law.",,,,,,,,,,
3,Suhrawardy Shahid,"""আল্লাহ্ মুমিনের জান ও মালকে জান্নাতের বিনিময়ে কিনে নিয়েছেন |""",,,,,,,,,,,,,,
4,Zia Uddin Jewel,এইসব পোস্টে ধর্ম অবমাননা হয় না?,,,,,,,,,,,,,,
5,Md. Morshidul Amin,Natok,,,,,,,,,,,,,,
6,M. A. Matin,"যাকাত অথবা আয়কর যেকোনো একটি দেব। প্রতিবছর আয়কর রিটার্ন জমা দেই। তাই যাকাত দেই না। ফিতরা দেই, কিছু কিছু দান করি কিন্তু আলাদাভাবে যাকাত দেই না। আমি কি ঠিক আছি?",Jakaria Jalal,"M. A. Matin No you are not right, Income Tax is completely different topics, think a country where there is no tax or different level of tax prevail in different country and it’s fully based on income. Zakat based on deposit you have immaterial your income level. Hope you get the idea. Rest you can discuss with more learned person. Thanks",M. A. Matin,"Jakaria Jalal, But I think Income tax, VAT, CD, SD etc. are more appropriate system to collect revenue than Jakaat. As We pay Income Tax, VAT etc. to government and Fitra, Donations to poors, so we don't need to pay Jakaat at the same time, That's it.",Nabila Fairuz,"M. A. Matin After you pay tax, vat, fitra, the rest you have over a year, you have to pay zakat on that. It’s a farj ibadat, mandatory. Zakat can’t be replaced by tax or any other form of payment. You can skip any kind of donations and give zakat instead.",M. A. Matin,"Nabila Fairuz, Zakat is applicable in Khilafat or Sharia's based country where there is no rule to collect Income tax, VAT, Custom Duty, SD etc. from citizens. Again, Zakat rate is only 2.5% where Income Tax rate is 5-25% or more. So if we pay IT at higher rate than Zakat to govt. why we will again pay Zakat! Don't you think, this is additional burden to us.",Shanchar Mahmood,"M. A. Matin
That's another Pandora's Box.
Nobody really knows what is right answer to it. Especially those who live in the west and pay their taxes. Different people follow different rules whichever suits them best. Most probably there is no one right answer.",Nabila Fairuz,"M. A. Matin I don’t think zakat is applicable to particular countries only , rather it’s applicable to all muslims, wherever they live in.",,
7,Jamil Ashraf,গল্প সুন্দর হয়েছে। আপনার উদ্দেশ্য পরিস্কার বোঝা গেছে। তা ভাইয়া আপ্নার এই বছরের যাকাত হিসাব অনুযায়ী দিচ্ছেন্তো??!!,,,,,,,,,,,,,,
8,Tumul Khan,"I feel like I'm the Nafi in this story here. I think many members of the group will feel the same way.
If I'm able to pay 100k zakat, that means I have 40 lac idle money in my bank.
It doesn't matter if I'm trying to save for buying an apartment or that my two friends are getting some unfair advantages in life. That 100k just isn't mine. It's only my obligation to ensure that money reach into hands of someone who's in the eligible list of Islam.
I'm saying it again. It doesn't matter if my two rich friends have to pay less zakat than me. If Allah has allowed me to pay more zakat and thus performing my farz ibadah, I'll be more than happy to do so.",Munir Haque,Tumul Khan স্পট অন।,Hasibul Hasan Shovon,"Tumul Khan vaiya,so nice of you to comment in such a good way.আপনার কমেন্ট দেখে মন টাই ভরে গেলো।",Taania Jannat,"Tumul ভাইয়া আমার husband ঠিক এইভাবেই চিন্তা করেন , যে আল্লাহ সবাই কে যাকাত দেবার সামর্থ্য দেন না।",Gazi Tanbir,Tumul Khan excellent view. Level of Taqwaa is important.,Anwarul Maruf,"Tumul Khan plus paying zakat has other economic significance too, like money doesn’t get piled up idly, used for those who are in need.",Tumul Khan,"Anwarul Maruf Bhaia, that's actually one of the non spiritual effects of zakat. We can discuss these but they don't really matter when we are obligated to pay zakat.",,
9,Hassan Mohammad Aminul,"গল্পটা ভালো। তবে জাকাত প্রযোজ্য হলে দিতে জবে।
১. ব্যাক্তি ইনভেস্ট করেছে। মুনাফা খাচ্ছে সে এবং ব্যাঙ্ক।
২. জাকাত হচ্ছে ও দিচ্ছে। তবে তার বেশ কম হচ্ছে।
৩। সে টাকা ব্যাংকে রেখেছে। সেখানে ৬.৭ হারে চক্র বৃদ্ধি হারে সুদ হচ্ছে। কিন্তু বর্তমান মুদ্রাস্ফীতির সরকারী হিসেব ৬.২২। তার মানে বলা চলে তার টাকা বাড়ছে না। এর থেকে ২.৫% দিতে হবে। সে চিন্তিত। কিন্তু তার ইনকাম আছে, সে এর চেয়ে অনেক বেশী আয় করে। সুতরাং তার উপর যাকাত প্রযোজ্য তাকে দিতে হবে।

গোলমাল বাধিয়েছে ২ য় ব্যাক্তি। এটা আনরিয়েলিস্টিক।",Saidul Hoque,Hassan Mohammad Aminul ধর্ম হলো বিশ্বাস।,Hassan Mohammad Aminul,Saidul Hoque আমি যাকাত আদায় করি।,Saidul Hoque,Hassan Mohammad Aminul আমি বলি নাই যে তুই যাকাত দিস না। আমি গল্প লেখককে বুঝতে চেয়েছি।,Hassan Mohammad Aminul,Saidul Hoque ওকে। লেখক হয়তো বিশ্বাস করেন। তিনি কিছুটা কনফিউশানে ভুগছেন। সে ক্লিয়ার করা প্রয়োজন।,,,,,,
