,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Sayeed Ahammad,"এতটা বয়েস হলো, ভূলেও কখনও নিজ ধর্ম ইসলাম এর আলোচনা রেখে হিন্দু, খ্রীস্ট, বৌদ্ধ বা ইহুদি ধর্মের প্রতি অবমাননাকর বা কটাক্ষমূলক কিছুরই প্রতি সামান্যতম আগ্রহ বা আকর্ষণ অনুভব করলাম না।

তবে, যতক্ষণ সামাজিক যোগাযোগ মাধ্যমে সচল থাকি প্রতি মুহুর্তে অবিশ্বাসী মুসলিম ও নাস্তিক, ধর্ম নির্বিশেষে নাস্তিক এবং বিশেষত ভিন্ন ধর্মাবলম্বী মানুষদের একাংশের ইসলাম বিদ্বেষী কটাক্ষ-বানের জবাব দিতেই সব সময় চলে যায়। ব্যক্তিগত ও পারিবারিক বিষয়ে লিখার সময় বেশী পাই না।

মহানবী (সা:) এর আদর্শে ও কুরআনের নির্দেশনায় নারীর অধিকার হরণকারী নীতি, পর্দাপ্রথা ও ঈদ উল আযহায় আল্লাহর নামে নিরিহ প্রাণী জবেহ ছাড়া কোন জনকল্যাণমুখী এবং মানব হিতৈষী জীবন বিধান যে নেই, এই বিষয়ে প্রত্যেক বিদগ্ধজনের জ্ঞান ভান্ডারের আলোকচ্ছটায় আমি মুহুর্তে মুহূর্তে আলোকিত হয়েছি, হচ্ছি এবং আল্লাহ পাক নেক হায়াত দান করলে জীবনের শেষ মুহুর্ত পর্যন্ত হওয়ার আশায় আছি।

কারও মনের কষ্ট আল্লাহ পাক দীর্ঘায়িত করেন না। অবশেষে এই অধম গরীব সহ অন্যান্যদের দিকে আল্লাহ পাক মুখ তোলে চেয়েছেন।

বিনা মেঘে বজ্রপাতের মত এক কান্ড ঘটে গেল। ইসলাম বিদ্বেষী সকল অবিশ্বাসী মুসলিম ও নাস্তিক, ধর্ম নির্বিশেষে সকল নাস্তিক এবং বিশেষত ভিন্ন ধর্মাবলম্বী মানুষদের একাংশের মস্তিষ্কের চিন্তা শক্তির কোন একটি সংযোগ তথা তার মহান আল্লাহ পাক বিচ্ছিন্ন করে দিলেন, মনে হলো। এরা সকলে সমস্বরে আকাশ বিদীর্ণ করে আওয়াজ দিচ্ছেন যে, ইউরেকা, ইসলামে একটি জনকল্যাণমুখী ও মানব হিতৈষী বিষয় পাওয়া গেছে, আর সেটা হলো ""যাকাত""। বিগত দেড় হাজার বছর ধরে এই যাকাত সংগ্রহ এবং বন্টনে স্বচ্ছতা, জবাবদিহিতা ও কুরআনের সহীহ্ নির্দেশনা প্রতিষ্ঠায় যথেষ্ট হেলাফেলার আশ্রয় নেয়া হয়েছে। আর নয়।

তারা সকলে সামাজিক যোগাযোগ মাধ্যমে ঐক্যমত ঘোষণা করলেন যে, দেশে বিদ্যমান ইসলামি যে কোন প্রতিষ্ঠানের চেয়ে ইসলামি বিধান মতে এই গরীবের হক ""যাকাত"" সংগ্রহ ও বন্টনে স্বচ্ছতা ও জবাবদিহিতা প্রতিষ্ঠা ও বজায় রাখার জন্য ""বিদ্যানন্দ"" এর চেয়ে উত্তম কোন বিকল্প নেই।

তবে, ""যাকাত"" ছাড়া কুরআনের আলোকে আর কোন বিষয়ে তাদের সামান্যতম আগ্রহ আছে কী না, সময়ই বলে দিবে।

আলহামদুলিল্লাহ। সকল প্রশংসার একমাত্র মালিক মহান আল্লাহ রাব্বুল আলামিন।",,,,,,,,,,,,,,,,
1,Khaled Hussain,"জ্বী, অবাক করার বুয়াপার হলো, এই ফোতামে যতটুকু হয় তাতে মাঝে মাঝে বাড়াবাড়িঅনে হয়।",Sayeed Ahammad,"Khaled Hussain ফোতামের জ্ঞিয়ানী বিজ্ঞায়িনীদের ইসলামের প্রতি দুর্নিবার আকুর্ষন আছে, জাতি নুতুন নুতুন ফিতওয়ার লাগি চাতুক পক্ষীর নেয় উপুর দুকে তুকায়ে আছে।",,,,,,,,,,,,,,
2,Md. Mainul Hasan,"ভাই, বিষয় টা উল্টা হইসে।",Sayeed Ahammad,Md. Mainul Hasan কী ভাবে?,Md. Mainul Hasan,"ভাই, প্রথমে বিদ্যানন্দ কে ইস্কন এর এজেন্ট বানানো হয়েছে। তারপর কিশোর কে বিভিন্নভাবে Defame করা হয়েছে। এর সাথে অদ্ভুত সব লোকের ভিডিও বা লেখা প্রমান হিসাবে উপস্থাপন করা হয়েছে।",Sayeed Ahammad,"Md. Mainul Hasan কিন্তু যাকাত এর অর্থ গ্রহণ ও বন্টনের কাজে সম্পৃক্ত হবার আগে কী কোন সমীক্ষা প্রতিবেদন হয়েছে, যাতে কুরআনের নির্দেশনা মতে যাকাত গ্রহণ ও বন্টন কীভাবে ও কী ধরনের ব্যক্তিদের মাধ্যমে বাস্তবায়ন করা হবে?

আপনাকে বা আমাকে এমন দায়িত্ব দিলেও কিছু অনুশীলন ও পড়াশোনা ছাড়া রাজি হওয়া ঝুঁকি পূর্ণ হবে?

আর যদি আমাকে ও আপনাকে ভিন্ন ধর্মের কোন স্পর্শ কাতর অর্থ ধর্মীয় বিধান মেনে ব্যবহারের দায়িত্ব দেয়া হয়, সে ক্ষেত্রে আপনি এবং আমি সবার আগে পড়াশোনা করবো সেই ধর্মের বিধানানুযায়ী সেই দায়িত্ব পালনের ক্ষেত্রে কী ধরনের সীমাবদ্ধতা বা শূন্যতা আছে, যা পূরণ করার ক্ষেত্রে আমাদেরকে ধর্মীয় রীতিমতো নির্বাচনে সকলের সম্মতি আছে কী না?",Md. Mainul Hasan,"Sayeed Ahammad সেটা আলোচনা করলেই তো। হাবিজাবি বলার কারণ কি?? সহজ ভাবে বললেই হইতো, জাকাতের এই নিয়ম, যারা অনুসরণ করতে পারবেন তাদের মাধ্যমে বিতরন করা উত্তম। সরাসরি সেটা বলে প্রচুর আজেবাজে কথা বলা হয়েছে। কোন ধারমিক লোক এগুলো বলতে পারে কিনা আমার সন্দেহ আছে।",Md. Mainul Hasan,"Sayeed Ahammad আর যুক্তি দেয়া হয়েছে জর্জ বুশ স্টাইলে, জাকাত বিতরণ প্রক্রিয়ার রেফারেন্স চাইলে বলা হয়েছে অালেমরা বলেছেন। অার বলা হয়েছে অাপনারা ইসলাম বিরোধী।",Md. Mainul Hasan,"Sayeed Ahammad একজন সম্ভবত অাল মারজাকুল ইসলাম এর জন্য সহায়তা চেয়েছেন, সেভাবে চাইলেই সুন্দর হতো।",Sayeed Ahammad,"Md. Mainul Hasan সামান্য কিছু ফ্রেঞ্চ কাট দাড়ি রেখেই, অন্য কাউকে অধার্মিক ভাবতে এবং অন্যের মতামত কে আজেবাজে কথা যারা অবলিলায় বলতে পারে, প্রাচীণ কাল হতে এমন ব্যক্তিদের কে একটি বিশেষ শহরের কথিত জ্ঞানীদের কাতারে ফেলা হয়। অভিনন্দন ও আন্তরিক শুভেচ্ছা, আপনি সেই কাতারে পৌঁছে যাবার জন্য।",Md. Mainul Hasan,"Sayeed Ahammad বুঝলাম না অামি কাকে অধার্মিক বললাম, অার অাপনি অামার দাড়ির কথা বলে কি বোঝাতে চাচ্ছেন। অামার পয়েন্ট গুলো বলা হয়েছে কিনা চেক করে দেখেন। অামাকে কোন ধরনের জ্ঞানী বানালেন বুঝলাম না। অার দেখেন অাপনার বক্তব্য ইসলাম সম্মত কিনা??"
3,Md Mahabub Hassan,"আপনার যাকাত আপনি যাকে ইচ্ছুক দিতে পারেন। এমন কি যাকাত বন্টনের ধর্মীয় নীতিমালা প্রচার করতে পারেন। তবে কেউ যদি কোন সামাজিক সংস্হার কাছে যাকাত/ সদকা প্রদান করেন তবে এতে আপনার আপত্তি থাকবে কি। যাকাত কবুল করার মালিক মহান সৃষ্টিকর্তা। আমরা ধর্ম পালন ও মানবিক মূল্যবোধ থেকেই যাকাত, দান, সদকা প্রদান করে থাকি।",Sayeed Ahammad,"Md Mahabub Hassan আপনার ইসলামি জ্ঞানের যতটুকু সম্ভব আপনি জানিয়েছেন। প্রশ্নও রেখেছেন। যাকাত দেয়ার ব্যপারে সবাই নিজের বিবেক বুদ্ধি অনুযায়ী আপনজনদের দেয়ার কষ্ট স্বীকার করে নিতে পারেন আর কোন প্রতিষ্ঠানে দেয়ার ক্ষেত্রে সময় থাকলে ইসলামের বিধান জানার কষ্ট স্বীকার করে নিতে পারেন। যাকাত বিষয়ে কুরআন এর নির্দেশনা এই ফোরামে একাধিক সদস্য পোস্ট করেছেন, যা সহজেই বুঝার মত। তবে আপনার এই মন্তব্য পোস্ট আকারে দিলে প্রায় হাজার বিশেক সদস্য উপকৃত হবেন। ভাল মনে করলে, ভেবে দেখবেন।
আপনি বলেছেন, যাকাত কবুল করার মালিক মহান সৃষ্টিকর্তা।
মানুষের জীবনে এমন কোন কাজ কী আছে, এমন কি ফেসবুকে পোস্ট এর নিয়্যাত, যা মহান আল্লাহ রাব্বুল আলামিন ভিন্ন অন্য কোন সত্ত্বার পক্ষে কবুল করা সম্ভব ?",Md Mahabub Hassan,"Sayeed Ahammad এখানে ""কবুল"" শব্দ টি acceptance বুঝিয়েছি । মানুষের সব কর্মই কি সৃষ্টিকর্তা কবুল করেন? যদিও ধর্মে কোন যুক্তি গ্রহণ‌যোগ্য নয়।",Sayeed Ahammad,"Md Mahabub Hassan একশ ভাগ সত্য। আমার আপনার জেগে থাকা প্রতি মুহুর্ত, অফিসের কাজে মনোযোগ, প্রতিটি মানুষের সাথে ব্যয়িত সময় ও আচরণ, প্রতিটি কাজই আল্লাহ কবুল ও মূল্যায়ন করবেন।
মানুষের সাথে সদ্ব্যবহার অনেক সময় ইবাদতের চেয়ে ওজনদার গণ্য করা হয়।",,,,,,,,,,
4,Taoshif Tazwar Turzo,জয়তু বিদ্যানন্দ।,Md. Redwan Hossain,"Taoshif Tazwar Turzoকী রে, আজকে এক্সাম দিয়ে মাথা গেলো নাকি তোর?",,,,,,,,,,,,,,
5,Fahim Faisal Khan Shapnil,Out of curiosity- how much have you read about the other religions you mentioned?,Sayeed Ahammad,"Fahim Faisal Khan Shapnil আমি আমার ধর্ম নিয়েই পড়াশোনা করার পর্যাপ্ত সময় পাই না। ভিন্ন ধর্ম নিয়ে পড়াশোনা করার সময় ও কারণ তৈরি হয়নি।
আপনি কী ভিন্ন ধর্ম নিয়ে নিয়মিত পড়াশোনা করছেন?",Asif Hasan Zeshan,"Fahim Faisal Khan Shapnil আরে ব্যাটা আগ্রহই বোধ করেনাই বসে। পড়বে কি? অনাগ্রহের জিনিস তুই পড়স? আমি তো আগ্রহের জিনিস ই কত টাইমে পড়ার সময় করে উঠতে পারিনা।না পড়ে না জেনে না বুঝে লম্বা স্ট্যাটাস দেয়ার যে নিষিদ্ধ একটা মজা আছে, সেটা সেলিব্রেট করতে পারলেও তো একটু শান্তি আসত। শালা সেই খাত ও দখলে।",,,,,,,,,,,,
6,Sudipta Roy,"আপনি আপনার ধর্মের ব্যাপারে ঠিক যতটা মহাজ্ঞানী বলে নিজেকে জাহির করছেন তার সাপেক্ষে হিন্দু ধর্মের ব্যাপারে আপনি কতটুকু জানেন? ৬% এর কিয়দাংশের সামগ্রিক পরিমান আর ৯০% এর একই কিয়দাংশের সামগ্রিক পরিমানের পার্থক্যটা আপনি বোঝেন? কিয়দাংশ কথাটা ব্যবহার না করে সামগ্রিক পরিমানটা হিসেব করে দেখবেন একটু।

হিন্দু ধর্মাবলম্বীদের কিয়দাংশের ব্যাপারে আপনার যে জ্ঞান সেই একই ধর্মের ম্যাক্সিমামের যে কোন ধর্মবিষয়ক সেনসিটিভ বিষয়ে তাদের টলারেন্স লেভেল সম্পর্কে আপনার কোন ধারনা আছে?",Sayeed Ahammad,"Sudipta Roy হিন্দু ধর্মের কোন বিষয়ে আড়িপাতায় কোন মুসলিম নামের সদস্য কখনও কটাক্ষ করেছেন, আমার মনে হয় না।

আর কি কারণে, অযথা ভিন্ন ধর্ম সম্পর্কে কটাক্ষ বা মন্তব্য করার দায় আমাকে নিতে হবে।

হিন্দু ধর্মের কোন বিষয়ে আমি তো নাইই, মুসলিম নামের কোন সদস্যও আলাপ বা কটাক্ষ করেন, নজরে আসছে না।",Sudipta Roy,"Sayeed Ahammad, সেই একই কথা আড়িপাতার হিন্দু ধর্মাবলম্বীদের জন্য আরো বেশি প্রযোজ্য। আর দায় আপনাকে নিতেই হবে। কারন আড়িপাতায় আপনিই হয়তো একমাত্র আড়িপাতক যে ডাইরেক্টলি ""বিশেষত হিন্দু ধর্মাবলম্বীদের কিয়দাংশ"" শব্দটি চয়ন করেছেন।",Sayeed Ahammad,"Sudipta Roy ইসলাম ধর্ম ও কুরআনের বিষয়ে, দাড়ি টুপি ও হিজাব নিয়ে আড়িপাতায় হিন্দু ধর্মাবলম্বীদের একাংশ অযথা মন্তব্য ও কটাক্ষ করেছেন, এমন বেশুমার উদাহরণ রয়েছে।

কিন্তু হিন্দু ধর্ম বা ধর্মাচরণ নিয়ে আড়িপাতায় কোন মুসলিম সদস্য গায়ে পড়ে মন্তব্য করেছেন, আপনার কী মনে পড়ে?

আপনি গায়ে পড়ে, আমি হিন্দু ধর্মের বিষয়ে কতটা পড়াশোনা করেছি, প্রশ্ন করছেন? কেন? হিন্দু ধর্ম নিয়ে কী পোস্টে কোন কিছু বলা হয়েছে?

মুসলিমরা জন্মগত ভাবে অপেক্ষাকৃত বেশী সহনশীল।

আমার পোস্টে অবিশ্বাসী মুসলিম ও নাস্তিক এবং ধর্ম নির্বিশেষে নাস্তিকদের কথা আগে এসেছে। এ বিষয়ে খেয়াল করেন, মুসলিম কেউ অযথা নিজের গায়ে কিছু মাখাতে যায়নি।",Palash Mustafiz,"Sayeed Ahammad ""মুসলিম রা জন্মগত ভাবে অপেক্ষাকৃত বেশি সহনশীল"" 😃😃😃",Sayeed Ahammad,Palash Mustafiz মুসলিম এর আগে কোন বিশেষণ কিন্তু দেয়া হয়নি।,,,,,,
7,Sumit Mondal,"বয়স অনেক হইছে, কিন্তু বুদ্ধি বাড়ে নাই।",Sayeed Ahammad,Sumit Mondal এখন আমি কিছু বললে মন খারাপ করবেন নাতো?,Sayeed Ahammad,"Sumit Mondal বুঝেছি মন খারাপ করবেন না।
প্যান্ট এর উপরিভাগে কোন সূতা ছাড়া, চোখে রংগিলা সান গ্লাস পরে দুহাত দুদিকে প্রসারিত করে আকাশের দিকে তাকিয়ে থাকলে বয়েসের সাথে বুদ্ধি বাড়ে, এটা অতি প্রাচীন এক শহরের তথাকথিত জ্ঞানী লোকেরা বিশ্বাস করতেন।
আমেরিকা ও ইংল্যান্ড দু দেশেই একই নামের এই শহরের নাম ছিলো গথাম আর তথাকথিত জ্ঞানীদের মানুষ জন ভালবেসে সুন্দর গাধা মনে করতেন।",,,,,,,,,,,,
8,Abhijeet Kar,"চাচার বয়স অনেক হইছে, ঢাকায় গরম ও বাড়ছে, মস্তিষ্ক টা খুলে যে ফ্রিজের ভিতর রেখেছিল, পোস্ট লেখার আগে মনে হয় বের করেন নাই আর....",Sayeed Ahammad,"Abhijeet Kar নেটে বাধানো সিংগেলসের দেয়ালে পাজামা পাঞ্জাবি পরে, চোখে চশমা লাগিয়ে আর ফ্রেঞ্চকাট দাড়ি সহ হেলান দিয়ে তোলা ছবি ফেসবুক ওয়ালে দিয়ে অথবা কাধে পাখি নিয়ে কানে হেডফোন লাগিয়ে তোলা ছবি ফেসবুক ওয়ালে দিয়ে যারা নিজেকে ইচরে পাকা, বাচ্চা, আর পারবারিক গন্ডি অস্বীকার করে যারা নিজেকে স্মার্ট ও বুদ্ধিমান ভাবতে শুরু করে, তাদেরকে প্রাচীন কাল হতে একটি বিশেষ শহরের কথিত জ্ঞানী লোকের সাথে তুলনা করা হয়।
মানুষ আদর করে এসব লাফাংগাদের, ইচরে পাকাদের গথামের জ্ঞানী ব্যক্তি ও সুন্দর গাধা বলে স্নেহ ও ভালবাসা প্রকাশ করে।",Abhijeet Kar,"Sayeed Ahammad দুআ করিয়েন ভাইয়া, যাতে একটু জ্ঞানী হতে পারি চ্চাচার মত",Sayeed Ahammad,Abhijeet Kar জরুর।,Najmul Alam Mahin,"Abhijeet Kar ভাই আজকেই মাত্র গ্রুপে এড হইসি, ঢুইকাই এসব কী 🙂",Sayeed Ahammad,"Najmul Alam Mahin কাউকে প্রথমে আঘাত করতে যাওয়া সবচেয়ে ঝুঁকি পূর্ণ।
তোমার যদি দাবা খেলার অভিজ্ঞতা থেকে থাকে, খেয়াল কর, একটি চাল দেয়ার আগে তুমি পরবর্তী সম্ভাব্য যতগুলো নিজের চাল ও প্রতিপক্ষের চাল হিসেব করতে পারবে, সেটাই তোমার দক্ষতা।
সিংহের বাচ্চারা নিজেদের মধ্যে লড়াই করে অভিজ্ঞ হয়।
আড়িপাতায় জীবনের প্রথম পোস্ট দেয়ার আগে, এমন ধরনের কিছু পোস্ট, পাল্টা মন্তব্য ও পোস্ট দাতার গ্রহণ যোগ্য জবাব ভাল করে পর্যবেক্ষণ করা সমীচীন হবে।
অনেক আনন্দদায়ক পোস্টও আসবে।",Najmul Alam Mahin,"Sayeed Ahammad আপনি বুঝতে পারেন নি। আমি আজকে এড হয়েছি। আপনাকে আক্রমণ করার মতো কিছু আমি বলেছি কি না একবার দেখে আসুন। আপনি আমার বাবার বয়সী, উপদেশের জন্য ধন্যবাদ। কিন্তু কথা শোনানোর আগে বা কমেন্টের রিপ্লাই এর আগে কোন কমেন্টে কী রিপ্লাই দিচ্ছেন, দেখে নিবেন। ধন্যবাদ।",Sayeed Ahammad,"Najmul Alam Mahin আরেকটি কথা, আমার মত বিনা পারিশ্রমিকে কাউকে ভাল উপদেশ দিতে যাবে না।",,
9,Kwoshik Kumar,personal attack 😛,,,,,,,,,,,,,,,,
