,0,1,2,3,4,5,6,7
0,Aminul Islam Emon,"আমেরিকার একটা বড় সুবিধা ছিলো।
সেটা হলো ডলার। আমাদের আছে টাকা। আমরা টাকা দিয়ে গরু, মুরগী, ইলিশ মাছ কিনতে পারি। কিন্তু রান্নার তেলটা, হাড়িটা, চুলাটা কিনতে গেলেই ডলার লাগে। ডলার না থাকলে রান্না বন্ধ, খাওয়ার বন্ধ।
পৃথিবীতে একমাত্র আমেরিকার এই অসুবিধা নাই। তারা ছাপাখানায় ডলার ছাপিয়ে নিলেই পারে। তারা সেই ছাপানো কাগজ দিয়ে সারা দুনিয়ার তেল, মাখন, ঘি কিনে সুখেই খাওয়া দাওয়া করে। অন্যরা আধা পেটা খুধা নিয়ে আমেরিকার দিকে তাকিয়ে থাকে, কিছু বলতে পারে না। বিশ্ব মোড়ল বলে কথা!
এ অবস্থায় এখন একটা ভুমিকম্প হতে যাচ্ছে। কারন হলো চায়না। চায়না এখন পৃথিবীর সবচেয়ে ধনী দেশ। তারা আমেরিকার মোড়লগিরি আর মানতে চাচ্ছে না। চাবেই বা কেন? টাকার গরম আছে না? আমেরিকাকে তাই একটা থাপ্পড় মেরে বোঝাতে হবে পাড়ায় নতুন মোড়ল এসেছে। ছেড়ে দাও গদি।
চাইনিজরা অনেক দিন ধরেই থাপ্পড় দেওয়ার জন্য আমেরিকার গালটা খুজছিলো। কোথায় থাপ্পড় দিলে ব্যাথাটা বেশি লাগবে, চামড়াটা অনেকক্ষন লাল হয়ে থাকবে, সেটা ভাবতে হবে তো।
অবশেষে সুযোগটা আমেরিকা নিজেই করে দিলো, মানে গালটা পেতে দিলো আর কি।
ইউক্রেন যুদ্ধে রাশিয়াকে ঠান্ডা করতে, রাশিয়ার তেল যেন বিক্রি না করতে পারে সে জন্য রাশিয়ার সমস্ত ডলারের লেনদেন বন্ধ করে দিলো। অর্থাৎ রাশিয়া কাউকে জাহাজ জাহাজ তেল দিলেও বিনিময়ে ডলারটা রাশিয়া আর পাবে না৷ কারন ডলারের মালিক আমেরিকা। সে না দিলে কেউ ডলার পায় না।
রাশিয়ার তেল বিক্রি কমে গেল। এই সুযোগে আরব গুলো তেলের দাম বাড়িয়ে দিয়ে সবার ব্যাংক থেকে কাড়ি কাড়ি ডলার নিয়ে গেল। সব দেশের ডলার রিজার্ভ তলানীতে। পৃথিবীর সব দেশ এক সাথে গরীব হয়ে গেল। মহা এক মুশকিল!
এর মধ্যে চায়না বুঝে গেল এই হলো সুযোগ। চড় লাগাতে হবে এখনি। সবাই যখন ডলারের উপর বিরক্ত হয়ে আছে ঠিক তখন চায়না ঘোষনা দিলো সে রাশিয়ার সাথে ডলারে আর না, বরং ইউয়ানে, মানে চাইনিজ টাকায় কেনা বেচা করবে। কলাটা বেচে মুলাটা কিনবে। মাঝখান থেকে ডলার এর মোড়লগিরি থাকলো না। কলাও সস্তা, মুলাও সস্তা হয়ে গেল।
তাই দেখে আরেক পাতি মোড়ল ইন্ডিয়াও রাশিয়ার সাথে ডলার ছাড়াই লেনদেন শুরু করে দিলো। চড় গালের দিকে আসছে দেখে আমেরিকা ভাবলো তাড়াতাড়ি পাবলিককে নিজের দিকে টানি। তেলের দাম কমাই। আরবদের কড়া করে ধমক লাগাই। বুড়া বাইডেন প্লেনে চড়ে আরব গেল নিজ মুখে ধমকটা দিবেন।
এদিকে চাইনিজ গুলোর বুদ্ধি কম না। তারা এর আগেই আরবদের কানে কানে বলে আসলো, আমি তোদের পাশে আছি, তোরা উলটা ধমক লাগিয়ে দিস।
বাইডেন বেচাড়া পালটা ধমক খেয়ে কাষতে কাষতে বাড়ি ফেরত গেলো। দুনিয়ায় ডলার সংকট থেকেই গেল।
এর পর যা হবার তাই হলো। চাইনিজদের প্লান মত এখন আরো অনেজ দেশ ডলার থেকে বের হয়ে আসতে শুরু করলো।
ব্রাজিলের নেতৃত্বে সাউথ আমেরিকার কিছু দেশ, আফ্রিকার কিছু দেশ, সাউথ এশিয়ার অনেক দেশ ডলার ধীরে ধীরে ডলার থেকে বের হওয়ার প্লান করছে।
এটাই চাইনিজ থাপ্পড়। এটা যদি ঠিকমত গালের উপর পরে আমেরিকা উল্টে পরবে না, তবে অনেক ব্যাথা পাবে। আর এরকম ভাবে পাবিলিকের সামনে থাপ্পড় খেলে মোড়লগীরিটাই হাড়াবে। পাড়ার পিচ্চি গুলোও হাসবে।
এই হলো গল্প। জটিল অর্থনীতির সরল গল্প।
বাকি গল্প আগামী বছর। কেউ মোড়লগীরি হারাতে চায় না। তাই আমেরিকা যা ভালো পারে, যুদ্ধ, সেই প্রস্তুতিই নিচ্ছে। ইজ্জত হারাতে চায় না বলে চায়নার সাথে যুদ্ধের প্রস্তুতি নিচ্ছে। দেখা যাক কী হয়। যাই হোক, এর মধ্যেই সবাইকে। বাংলা নব-বর্ষের শুভেচ্ছা।",,,,,,
1,Badsha Mondol,"ভালো বলেছেন। সাথে অল্প একটু যোগ করে দেই। সেটা হলো আম্রিকা যেটা ভালো পারত এতদিন, economic sanctions and conventional যুদ্ধ, সেই যুদ্ধেও পরাজিত হয়ে গেছে। এখন বাঁকি আছে আনবিক যুদ্ধ। আম্রিকার কাছে হাইপারসনিক মিসাইল নাই। রাশিয়া আর চায়নার আছে হাইপারসনিক। সুতরাং পারমাণবিকেও সুবিধা হবে বলে আশা করছেনা আম্রিকা। আম্রিকা এতকাল যুদ্ধ করেছে দুর্বল দেশগুলোর সাথে। এইবার সেই হিসাব মিলছেনা।",,,,,,
2,Riad Un Nabi,"US made the blunder of using USD as a weapon too many times. When they pull out of JCPOA, they also barred the global banking system from transacting with Iran using USD. Even though EU & other parties tried circumventing USD, they failed to make much headway. In that case, they were trying to take the moral high ground by supporting Iran, but not trading with Iran haven't affected these countries materially. So their response was timid. Current situation is entirely different. By banning Russia from SWIFT, US showed that they will use global economy as a weapon against their enemies, no matter who got hurt in the process. Freezing Russian assets (and I guess stopping Afghanistan's reserve) showed global economic trust is entirely vulnerable to US party politics. That made many countries apprehensive. Although EU is wholeheartedly supporting the Russia ban, many countries would probably welcome an alternative. Problem is, Chinese currencies r too controlled by CCP, so global trust would never be as high as USD. Euro could have taken better hold IMO.",,,,,,
3,Auninda Mahbub,Auninda Mahbub,Palash Mustafiz,Auninda Mahbub Most reliable source of information.,,,,
4,Kapil Mukhopadhyay,সেই হইছে ভাই। এতো সরলভাবে অর্থনীতির হিসাব নিকাশ আর কেউ বোঝাতে পারবে না 💓💕💕💓,,,,,,
5,Tahmina Husna Tandra,"রাজায় রাজায় যুদ্ধ হবে , উলুখাগড়ার (আমরা ☹️) প্রাণ যাবে 🙁",,,,,,
6,Wahidur Rahman Rokon,ধরনে রম্য কিন্ত দারুন উপস্থাপন ভাই,,,,,,
7,Noor E Alam Siddique,বাংলাদেশিরা খুশি হয় এমন চটকদার সুখপাঠ্য গল্প। চালিয়ে যান।,,,,,,
8,Fuad Nur Taufique,Sob kichur jonno বাডেন responsible. We need লাল দল in power immediately.,Rezwanur Rahman,"Fuad Nur Taufique Abdul Baten is the culprit , you are absoulately correct . Make America Red Again . MARA not MAGA though :p",,,,
9,Noor E Alam Siddique,বাংলাদেশও আমেরিকার গালে কষে একটা থাপ্পড় দিয়ে ইন্ডিয়ান রুপিতে ব্যবসাবাণিজ্য শুরু করে দিক। শুভকামনা।,,,,,,
