,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Fardous Ahmed,"শুনলাম বুয়েটে এবার রোজার মধ্যে টার্ম ফাইনাল ফেলে ছাত্রছাত্রীদের ব্যস্ত রেখে নববর্ষের প্রোগ্রাম আয়োজন থেকে কৌশলে বিরত রেখেছে বুয়েট প্রশাসন। শিক্ষা মন্ত্রণালয়ের মাধ্যমিক ও উচ্চশিক্ষা বিভাগের মাধ্যমিক ও উচ্চশিক্ষা অধিদপ্তর ও ইউজিসি থেকে বিশ্ববিদ্যালয়গুলোতে নববর্ষ পালনের সুস্পষ্ট নির্দেশনা থাকার পরেও বুয়েটে এবার কোন প্রোগ্রাম হচ্ছে না। ( আর্কির প্লিন্থে আলপনা, মঙ্গল শোভাযাত্রা, কনসার্ট ইত্যাদি) ঢাবি জাবি সহ বিশ্ববিদ্যালয় গুলোতে ঈদের ছুটি থাকলেও নববর্ষের প্রোগ্রাম হয়েছে।
এই বিষয়ে কেও কিছু জানেন?
ব্যক্তি হিসাবে আমপাব্লিক এসব প্রোগ্রাম বর্জন করে বাড়িতে শুয়ে থাকতে পারে, কিন্তু প্রতিষ্ঠানকে তো সরকারি নির্দেশ পালনের বাধ্যবাধকতা রয়েছে।",,,,,,,,,,,,
1,Nazmus Sakib Sami,Buet er against e ekta mamla den vai,Fardous Ahmed,Nazmus Sakib Sami প্রপার অথোরিটির নজরে পড়লেই হবে,Nazmus Sakib Sami,"Fardous Ahmed apnar nojorei to pore gese, ebar kaj hobei",,,,,,,,
2,Manzoor Elahi Tamjeed,মঙ্গল শোভাযাত্রায় অংশগ্রহণ,,,,,,,,,,,,
3,Abdul Rakib Hossain,ধন্যবাদ ভাই এমন জনগুরুত্বপূর্ণ বিষয়ে সকলের দৃষ্টি আকর্ষণের জন্য। আপনার সকালের মঙ্গল শোভাযাত্রায় পাঞ্জাবি পরে ড্যান্স দেওয়ার কিছু ভিডিও পোস্টের সাথে সংযুক্ত করলে বিযয়টা আরো বেশি রিচ আউট করতো সবার কাছে।,Fardous Ahmed,Abdul Rakib Hossain আপনার কি বাংলা পড়ার এবিলিটি নাই? অর্ডারটা শিক্ষা বিভাগের তার অধীনস্থদের জন্য। আমি সেখানে চাকরী করি না৷ আমার জন্য এটা প্রযোজ্য না।,Abdul Rakib Hossain,Fardous Ahmed ধন্যবাদ ভাই। নতুন তথ্য জানলাম যে চারুকলার শোভাযাত্রায় যাওয়ার জন্য শিক্ষা বিভাগের অধীনস্হ হওয়া লাগবে৷,,,,,,,,
4,Azmain Adel,"আর্কিটেকচার ডিপার্টমেন্ট এর উপর প্রীত হতে পারছি না।
কেমন জুনিয়র রেখে গিয়েছিস Fatin Fuad?",Fatin Fuad,Fatin Fuad,Azmain Adel,Fatin Fuad ছবি বসায় দে বস এর। টেমপ্লেট ফাঁকা কেন?,Fatin Fuad,Azmain Adel low effort,,,,,,
5,Armin Rahman Mouly,স্থাপত্য বিভাগকে বিচারের আওতায় আনা হোক।,Gourab Kundu,Armin Rahman Mouly প্লিজ 🥹,,,,,,,,,,
6,Naimul Ahsan,স্থাপত্য বিভাগে বৈশাখ আয়োজন বুয়েটের ঐতিহ্যের অংশ। প্রতিবছর আর্ক্যাব এর সহযোগিতায় এই আয়োজন হয়ে থাকে। গত বছরও রমজান থাকায় বৈশাখের আগের রাতে আলপনা আঁকা ও আপ্যায়নের আয়োজন ছিল। ইফতারের পর থেকে সেহরী পর্যন্ত বিভাগের এলামনাই ও অন্যান্নরা স্বপরিবারে এই আয়োজনে অংশ নিয়েছেন এবং উপভোগ করেছেন। কিন্তু এবার পরীক্ষার অযুহাতে এলামনাইদের রাত্রীকালীন এই আয়োজনেরও অনুমতি দেয়া হয়নি যা স্বম্পূর্ণ অযৌক্তিক ও দুঃখজনক। তারপরও আর্ক্যাবের পক্ষ থেকে সবাইকে নববর্ষের শুভেচ্ছা।,Fardous Ahmed,Naimul Ahsan কিছু পয়েন্ট তুলে ধরায় আপনাকে ধন্যবাদ জানাই। সরকারি নির্দেশনা থাকার পরেও সেটা উপেক্ষা করাটা কাম্য নয়।,,,,,,,,,,
7,Armin Rahman Mouly,বুয়েটের ফাঁসি চাই।,,,,,,,,,,,,
8,Ridwanul Haque,বৈশাখ থেকে বিরত থাকছে কিনা জানিনা। তবে রমজান মাসের ইবাদতে ব্যাপক ব্যাঘাত ঘটাইছে টার্ম ফাইনাল।,,,,,,,,,,,,
9,Iqbal Hossain Maruf,"তাহলে কি এখন বুয়েট বন্ধ করে দেয়া হবে?এই ব্যাবস্থা করতে পারলে খুব ভালো হতো,,ভাবা যায় ,রোজা রেখে টার্ম ফাইনাল দেয়া লাগছে,☹️, আবার ঈদের পরও ২টা পরীক্ষা আছে,🥲, আপনারা কড়া একটা আন্দোলন এর ডাক দেন,,যাতে ঈদ টা একটু ভালোভাবে করতে পারি,,আর বাকি ২টা পরীক্ষাও পিছায় যায়,,,😀

ধন্যবাদ,আর হ্যা,, পহেলা বৈশাখ উপলক্ষ্যে সেহেরিতে কিম্বা ইফতারে পান্তা ভাত খেতে ভুলবেন না,,🤐",Monjurur Rahman Towfiq,Iqbal Hossain Maruf 🫡🤣,,,,,,,,,,
10,Kaykobad Bhuiyan,"মঙ্গলশোভাযাত্রা
জুম্মার আগে হবে নাকি পরে সেই নিয়ে জনবিভক্তির কারণে সম্ভব হয় নাই ভাই। আড়িপাতা গ্রুপ থেকে সুপরামর্শ প্রয়োজন।",,,,,,,,,,,,
11,Udio Mahmud Shovvo,বুয়েট এখন জামাত শিবিরের আখড়া,Asif Ahmed,Udio Mahmud Shovvo ছাত্রলীগকে ফিরিয়ে আনা হোক আবার,,,,,,,,,,
12,Yamin Mansur,"আপনি বাসায় বসে না থেকে অডির প্লিন্থে গিয়ে এসো হে বৈশাখ গান ছেড়ে নাচতে থাকেন
সাম্প্রদায়িক অপশক্তি এবং সাম্প্রদায়িক বুয়েট প্রশাসনের বিরুদ্ধে অবস্থান নিন!(2)
আড়িপাতায় ভিডিও দিয়েন",,,,,,,,,,,,
13,Sadiq,অবিলম্বে টার্ম ফাইনাল কে কেন অবৈধ ঘোষণা করা হবে না এই মর্মে হাইকোর্টে রিট এবং বুয়েটের বিরুদ্ধে মামলা করা হোক। একইসাথে টার্ম ফাইনাল কে চিরতরে নিষিদ্ধ ঘোষণা করে সংসদে বিল পাস/রুল জারি হোক।,,,,,,,,,,,,
14,Minhaz Meheraj,Big brain BULLET,,,,,,,,,,,,
15,Faysal Habib,"এখন বুয়েটকে বয়কট করা সময়ের দাবী। অনতিবিলম্বে বুয়েটের নিবন্ধন বাতিল করা হোক। ইউজিসির কাছে দাবী জানাই, বুয়েটকে শিক্ষা প্রদানের অযোগ্য ঘোষণা করা হোক।",,,,,,,,,,,,
16,বনী ওয়াহিদ,বুয়েট ভেঙে নতুন জিলা ঘোষণা করা হউক।,,,,,,,,,,,,
17,Arif Shahriar,৯৬.৩৬% হা হা রিএকশন। যুক্তিযুক্ত ও যথোপযুক্ত রেফারেন্সের পরও এতো হা হা কেন? খতিয়ে দেখা দরকার। 🤔,,,,,,,,,,,,
18,Kalam Azad,"বৈশাখী উৎসব বাঙালির প্রাণের উৎসব , এখানে সরকারি নির্দেশনা কেন লাগবে!!!??",,,,,,,,,,,,
19,Ahmed Imtiaz,জামাত শিবিরের হাত আছে কিনা আবার?,,,,,,,,,,,,
20,Swapan Mandal,পরীক্ষা সময় মতো হলে সমস্যা কোথায়?,,,,,,,,,,,,
21,Rahman Ayon,Buet ke khai deya hok.. dabi janay gelam,,,,,,,,,,,,
